datum,podnik,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2021-09-21,Ceska piv,Slepačí vývar s mäsom a rezancami,Zeleninová s mrveničkou,Penne arrabbiata s kuracím mäsom,Bravčová kapsa na prírodno plnená bryndzou cibuľkou a oštiepkom ryža a miešaný šalát,XXL Vyprážaný bravčový rezeň s varenými zemiakmi a tatárskou omáčkou
2021-09-21,Dilema,Staročeská bramboračka,Kurací STEAK s ratatouille zeleninou ryža,Pečená KRKOVIČKA na čiernom pive štuchané zemiaky kapustový šalát,Šošovicový prívarok s volským okom kváskový chlieb,
2021-09-21,Galileo,Špenátová polievka,Pečená krkovička na dusenej kapuste s knedľou,,,
2021-09-21,Kasa,Mrkvová polievka so zázvorom,Cícer na divoko,Krkovička na čiernom pive,,
2021-09-21,Milton,Fazuľová polievka s údeným mäsom koreňovou zeleninou,Grilované kuracie prsia zapekané s cuketou a kozím syrom,Omáčka kuracia šťava s pažítkou,Pasta roláda so špenátom sušenými paradajkami a chedarom,Steak z hovädzej sviečkovice s volským okom
2021-09-21,Prazsky pub,Hovädzí vývar,Bravčový rezeň s ryžou a kapustovým šalátom,,,
2021-09-21,Red Cafe,Zemiaková na kyslo polievka,Br panenka na grile na kráľovských fazuľkách peč zemiaky,Hráškové rizoto s kuracím mäsom,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-09-21,Spilka,Boršč,Kuracie prsia s broskyňou zapečené so syrom a dusenou ryžou,Bryndzové halušky sa  ovčou bryndzou a praženou cibuľkou,,
2021-09-21,Suvlaki,Fazuľová polievka,Pečený ZUBÁČ s kaparami čerstvými paradajkami a cesnakom,Pečené KURA s rozmarínom horčicovo medová omáčka,JEMISTA zapečené paradajky paprika plnená ryžou na grécky spôsob,
2021-09-21,Svadby a Kari,Petržlenová polievka s kokosovým mliekom a limetkou VEGAN,Thajské VEGAN žlté kari so žltým melónom cuketou a zelenými fazuľkami paradajkový šalát so sójou a čerstvou bazalkou,Thajské Massaman kari s hovädzím mäsom batátmi cuketou a paradajkami    paradajkový šalát so sójou a čerstvou bazalkou,,
2021-09-21,Veda,Thajská karfiólová,Gobi beans karfiól a zelená fazuľka v indickej omáčke,Mushroom Makhanwala Huba Makhanwala,,
2021-09-21,Veglife,Hráškový krém s kokosovým mliekom,Robi zapečené s parmezánom a ružičkovým kelom zemiakové pyré s maslom,Grilované tofu na sviečkovej omáčke pečené zemiaky,Šampiňónové krokety s kôprovou omáčkou pečené zemiaky,Šalát Coleslaw
2021-09-22,Alzbetka,Paradajková so syrom,Maďarský guláš s parenou knedľou,Kuracia roláda s hríbovou plnkou a zemiaková kaša,Grécky šalát s feta syrom,
2021-09-22,Bioland,Zeleninová Frankfurtská so zemiakmi alergény neobsahuje,INDIA Robi rezance wok s brokolicou a karfiolom v karí omáčke ryža basmati alergény lepok,Karfiolový šalát s cherry paradajkami vegan syrom a šampiňónovým dresingom alergény orechy sója,Mangová raw torta alergény orechy,
2021-09-22,BlueBear,Brokolicový krém s cesnakovým krutónom,Dukátové buchtičky s vanilkovým krémom,Bravčový rezeň v panko strúhanke s pečenými zemiakmi a sweet chilli majonézou,Maďarský kolenový guláš s čerstvým chlebom,TYZDENNE  Konfitované kačacie stehno s dusenou červenou kapustou a zemiakovou lokšou
2021-09-22,Centr klub,Fazulová na kyslo so sušenými slivkami,Bravčový mletý rezeň so syrom zemiaková kaša s pečeným cesnakom cvikla,Maďarský guláš parená knedľa,,
2021-09-22,Dilema,Slepačí vývar s rezancami a zeleninou,Kurací CORDON BLEU na grile ryža šalátik,VEPRO KNEDLO ZELO,Zemiakové ŠUĽANCE makové alebo orechové s maslom,
2021-09-22,Galileo,Fazuľová polievka,Pečená krkovička na dusenej kapuste s knedľou,,,
2021-09-22,Kasa,Kukuričný krém,Bezlepkové penne s cuketou a paradajkami,Morčací burger,,
2021-09-22,Milton,Tom Yum kuracia polievka s kokosovým mliekom a ryžovými rezancami,Vyprážané bravčové karé plnené prosciuttom a mozzarellou,Fritované údené tofu v bylinkovo slnečnicovej obale,V celku grilovaná teľacia sviečkovica Sous Vide,Mangové Tiramisu parfumované bielym rumom
2021-09-22,Prazsky pub,Kurací vývar s rezancami a zeleninou,Plnený bravčový rezeň na prírodno so šunkou syrom a špenátom s hranolkami,Šalát s tuniakom krutónmi vajíčkom a bazalkovým dressingom,,
2021-09-22,Red Cafe,Mrkvovo hrášková polievka,Kurací vypr rezeň slovenský zemiakový šalát,Penne s grilovanou zeleninou a pestom,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-09-22,Spilka,Kapustnica s klobásou,Iihaný hovädzí krk so šošovicovým prívarkom azemiakmi,Zapekané avokádo s pečenou repou a holandskou omáčkou,,
2021-09-22,Suvlaki,Paradajková polievka,Grilovaná bravčová Panenka so slaninkou rozmarínom slivková omáčka,Kuracie soté so zelenými fazuľovými strukmi paradajková omáčka,Gratinované BATATY so syrom feta tzatziki a pažítkou,
2021-09-22,Svadby a Kari,Talianska paradajková s domácim bazalkovým pestom VEGAN,Kokosovo pomarančové kari s cuketou mrkvou a cícerom libanonský šošovicový šalát,Indické zelené kari s kuracím mäsom jogurtom šampiňónmi batátmi a hrozienkami libanonský šošovicový šalát,,
2021-09-22,Veda,Brokolicová,Cuketa chanadul cuketa kukurica a karfiól v indickej omáčke,Mutter paneer farebná paprika hrášok a domáci syr v indickej maslovej omáčke,,
2021-09-22,Veglife,Jesenná cícerová polievka,Chalupárská živánska,Goody foody zeleninové guličky so smotanovou omáčkou pečené zemiaky,Šošovicový guláš s pečenou hlivou ryža jasmínová,Šalát Brokolicovo paradajkový s olivami
2021-09-23,Alzbetka,Staročeská kulajda,Kurací wrap so zemiakovými hranolkami a syrovým dresingom,Hovädzie dusené na lesných hubách s tarhoňou,Grécky šalát s feta syrom,
2021-09-23,Bioland,Batátovo mrkvová krémová s granátovým jablkom alergény neobsahuje,Domáce špaldové strapačky s kyslou kapustou a údeným tofu alergény lepok sója,Pečená zelenina na kokosovom oleji s citrónovým tymianom alergény neobsahuje,Tiramisu s kakaovým mascarpone alergény mlieko lepok vajcia,
2021-09-23,BlueBear,Šošovicová polievka s údeninou,Segedínsky guláš s parenou knedľou,Vyprážané rybie filé so zemiakovou kašou a coleslaw šalátom,,TYZDENNE  Konfitované kačacie stehno s dusenou červenou kapustou a zemiakovou lokšou
2021-09-23,Centr klub,Frankfurtská s párkom,Vyprážaný syr hranolky tatarská omáčka,Kuracie vykostené stehno v mede a čili bylinkový kuskus jogurtový dresing,,
2021-09-23,Ceska piv,Slepačí vývar s mäsom a rezancami,Hrášková krémova,Grilovaný encián s brusnicami a varenými zemiakmi,Kurací perkelt zo stehna s haluškami,XXL Vyprážaný kurací rezeň s hranolkami a tatárskou omáčkou
2021-09-23,Dilema,Tekvicová Hokkaido,Kuracie STRIPSY americké zemiaky coleslaw šalát,Karé so slaninkou a volským okom ryža šalátik  M,ZELENINOVÉ FAŠÍRKY varené zemiaky s vňatkou cviklový šalát,
2021-09-23,Galileo,Pórová polievka,Vyprážaný kurací rezeň so zemiakovou kašou a cviklou,,,
2021-09-23,Kasa,Zemiakovo pórová polievka,Blanšírovaná zelenina s quinoa,Hovädzí Bourguignon,,
2021-09-23,Milton,Šošovicová polievka na kyslo z oranžovou tekvicou a šalviou ovocný ocot,Ragú à la Bolognese,Sépiové taglioliny s pestom grilované slávky na cesnakovom masle,Medajlónky z bravčovej panenky Sous Vide,Crêpe Suzette palacinka marinovaná v redukcii pomarančovej šťavy
2021-09-23,Prazsky pub,Šošovicová na kyslo,Sviečková na smotane s parenou knedľou,Farfalle s kuracím mäsom syrovou omáčkou a pórom,,
2021-09-23,Red Cafe,Brokolicová krémová polievka,Kurací gyros hranolky tzaziky,Balkánsky šalát s fetou a olivami pizza štangľa,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-09-23,Spilka,Zalerový krém s krutónom,Bravčový rezeň Černohoť a pečené zemiaky,Zamiakové šúľance smakom a brusnicami,,
2021-09-23,Suvlaki,Šošovicová polievka,MUSAKA,Dusené kuracie mäso s červenou paprikou horčicová omáčka,Grilovaný grécky syr MANURI tzatziki dip,
2021-09-23,Svadby a Kari,Tom Yum VEGAN so šampiňónmi paradajkami a cuketou,Indické špenátové kari VEGAN s rastlinným jogurtom tofu paneerom a paradajkami mrkvový šalát so slnečnicovými semiačkami,Mandľové voňavé kari s hovädzím mäsom cviklou brusnicami a zemiakmi   mrkvový šalát so slnečnicovými semiačkami,,
2021-09-23,Veda,Brokolicová,Cuketa chanadul cuketa kukurica a karfiól v indickej omáčke,Mutter paneer farebná paprika hrášok a domáci syr v indickej maslovej omáčke,,
2021-09-23,Veglife,Zeleninová polievka s batatmi,Hokaido tempehový rezeň šťuchané zemiaky s olivovým olejom,Cviklový bulgur s balkánskym syrom,Thajské žlté karí s mangom ryža basmati B V P,Šalát Kalerábovo mrkvový s mungo klíčkami
2021-09-24,Alzbetka,Hovädzí vývar s rezancami,Pečené kuracie stehno s baby zemiakmi a demi glace,Morská šťuka v pivnom cestičku so slovenským zemiakovým šalátom       Grécky šalát s feta syrom,,
2021-09-24,Bioland,Eintopf zeleninovo strukovinová polievka alergény zeler,Lesné hubové krémové rizoto alergény zeler sedano mlieko,Cviklové placky s chia semienkami na hráškovej omáčke listový mix šalát alergény neobsahuje,Raw čokoládovo sezamové guličky alergény sezam orechy,
2021-09-24,BlueBear,Tekvicovo kokosová polievka,Vyprážaný karfiol s varenými zemiakmi atatárskou omáčkou,Bravčová panenka s nivovou omáčkou a domácimi hranolčekmi,Maďarský kolenový guláš s čerstvým chlebom,TYZDENNE  Konfitované kačacie stehno s dusenou červenou kapustou a zemiakovou lokšou
2021-09-24,Centr klub,Zemiakovo pórová so slaninou,Vyprážaný karfiól varené zemiaky tatrská omáčka,Pečená krkovička zemiakové štvrte čalamáda,,
2021-09-24,Dilema,Slepačí vývar s rezancami a zeleninou N,Penne s LOSOSOM citrónovou omáčkou kapari čerstvý kôpor,FRANCÚZSKE ZEMIAKY čalamáda,Syrový ŠPÍZ v pivnom cestíčku hranolky domáca tatárska omáčka    Mani dÁáÁvramaA  ŠACA A,
2021-09-24,Galileo,Karfiolová polievka,Pečené bravčové marinované rebrá s kyslou miskou a chlebom,,,
2021-09-24,Kasa,Zeleninový krém,Haruľa s bylinkami,Bravčová fašírka z pliecka,,
2021-09-24,Milton,Cícerovo paštrnákový krém s posýpkou z pražených miešaných orechov,Grilovaný Sous Vide bravčový steak bravčové karé,Americké palacinky s karamelovým krémom čokoládou polevou a banánom,Bezlepkové gnocchi v omáčke Quattro formaggi,Anglický roastbeef Sous Vide hovädzia roštenka
2021-09-24,Prazsky pub,Mrkvová polievka s hráškom a krupicovými haluškami,Vyprážaná morská šťuka so zemiakovým šalátom,Gnocchi s restovanou kuracou pečienkou šalviou paradajkami a parmezánom,,
2021-09-24,Red Cafe,Hrachová s párkom polievka,Hov Stroganoff dusená ryža,Šalát s kuracím mäsom a francúzskym dresingom,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-09-24,Spilka,Paradajková polievka       obr,Kelový prívarok so sekanou s vajcom a zemiakovou kašou,Vyprážané šampiňóny scesnakovým dipom azemiakmi,,
2021-09-24,Svadby a Kari,Indická šošovicová s opekaným kokosom VEGAN,Indický VEGAN Dhal z červenej šošovice s paradajkami  uhorkový šalát so sezamom,Indická GHEE Tikka Masala s kuracím mäsom tekvicou mrkvou a hráškom uhorkový šalát so sezamom,,
2021-09-24,Veda,Šampiónová,Broccoli Takatak Brokolica Takatak,Vegetariánsky stroganov na indický spôsob,,
2021-09-24,Veglife,Krém z bielej fazule s tymiánom,Zázvorové tofu na šampiňónoch a brokolici ryža natural,Bryndzový quiche s pórom a tymiánom zemiakové pyré s maslom,Cuketová moussaka,Šalát Miešaný zeleninový šalát s cícerom
2021-09-27,Alzbetka,Cícerová s údeným mäsom,Kuracie curry s jazmínovou ryžou,Tagliatelle s omáčkou z modrého syra sušené paradajky a rukola,Ceasar šalát s kuracím mäsom,
2021-09-27,Bioland,Hŕstková bylinková s citrónovou trávou alergény neobsahuje,Jemne pikantný hlivový perkelt so sójovou smotanou a bezlepkovými cestovinami alergény sója,Vegánsky šošovicový prívarok s pohánkovými fašírkami alergény neobsahuje,Raw makovo kakaová torta alergény orechy,
2021-09-27,BlueBear,Pórová polievka so zemiakmi,Bravčové špikované stehno na cesnaku so slovenskou ryžou a repovým šalátom,G Mexický bulgur s hráškom a strúhaným syrom,G Jemne pikantný divinový guláš s paprikovými haluškami a chrumkavou cibuľkou,TYZDENNE  Konfitované kačacie stehno s dusenou červenou kapustou a zemiakovou lokšou
2021-09-27,Centr klub,Brokolicová krémová s opečeným chlebom,Bryndzové pirohy so smotanou a chrumkavou cibuľou,Kurací steak zapečený s oštiepkom hranolky bylinkový dresing,,
2021-09-27,Ceska piv,Slepačí vývar s mäsom a rezancami,Moravská kapustnica,Penne s kuracím mäsom a grilovanou zeleninou parmezán,Vyprážaný encián s hranolkami a tatárskou omáčkou,VIP  Konfitované kačacie stehno s karamelizovanou kapustou a parenou knedľou
2021-09-27,Dilema,Slepačí vývar s rezancami a zeleninou N,Kuracie rezančeky na šampiňónoch s tymianom ryža,ČEVAPČIČI varené zemiaky horčica cibuľa,GRÉCKY ŠALÁT feta syr olivy bagetka s pestom,
2021-09-27,Galileo,Paradajková so syrom,Bravčový rezeň na šampiňónoch s dusenou ryžou,,,
2021-09-27,Kasa,Hokkaido polievka,Gnocchi alla puttanesca,Kurací paprikáš,,
2021-09-27,Milton,Japonská miso polievka s ryžovými rezancami sezónnou zeleninou a tofu,Grilovaný kurací steak grilovaný s maslom a bazalkou,Grilovaný rybací špíz s krevetami,Konfitované hovädzie líčka v zeleninovej remuláde,Čokoládový fondán s malinovou plnkou a karamelizovaný mliečny krém
2021-09-27,Prazsky pub,Zemiakový krém so šampiňónmi,Kuracie rizoto so zeleninou strúhaným syrom a kyslou uhorkou,Penne s mäsovým ragú na smotane s rukolou,,
2021-09-27,Red Cafe,Paradajková so syrom polievka,Kuracia cigánska na grilovanej cibuľke varené zemiaky,Rizoto z tekvice Hokkaido,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-09-27,Spilka,S Mini deň pe jej,Karfiolový krém s cheddarom      druhy,Morčací perkelt s maslovými haluškami a údenou paprikou,Vyprážaný syr hranolkami a domácou tatarkou,
2021-09-27,Suvlaki,Cuketová,Grilované JAHŇACIE KARBONÁTKY,Pečené KURACIE STEHNO horné s olivami paprikou paradajková omáčka,Zapečené lístkové cesto plnené Bataty pomarančom syrom Feta,
2021-09-27,Svadby a Kari,Arménska paradajková polievka s cícerom a hrozienkami VEGAN,Mangovo baklažánové VEGAN kari s kešu tekvicou a zelenými fazuľkami   japonský kapustový šalát s klíčkami,Indické kuracie kari v cibuľovo paradajkovej omáčke s paprikou a šampiňónmi japonský kapustový šalát s klíčkami,,
2021-09-27,Veda,Šampiónová,Broccoli Takatak Brokolica Takatak,Vegetariánsky stroganov na indický spôsob,,
2021-09-27,Veglife,Zeleninový vývar s miso pastou,Gratinovaná hokaido tekvica s údeným syrom a tymiánom,Paneer kadai masala ryža jasmínová,Kukuričná polenta s tempehom a suš paradajkami na špenáte pečené zemiaky s cviklou,Šalát Čakankový šalát s brusnicami
2021-09-28,Alzbetka,Brokolicová so syrom,Kuracie na spôsob Gyros v tortilla placke so zemiakovými hranolkami tzatziki,Pečená bravčová krkovička s hrachovou kašou a chrumkavou cibuľou,Ceasar šalát s kuracím mäsom,
2021-09-28,Bioland,Polievka krémová z pečenej zelenej papriky s kokosovým mliekom alergény neobsahuje,Grilovaný encián s pečenými zemiakmi a coleslaw šalát alergény mlieko,Mušle Pohánkové cestoviny s baklažánovou omáčkou olivami a pečenými cherry paradajkami alergény neobsahuje,Hruškový koláč s orechmi alergény lepok mlieko vajcia orechy,
2021-09-28,BlueBear,Fazuľová polievka s klobásou,Kurací černohorský rezeň s pečenými zemiakmi a tatárskou omáčkou,Cestoviny s trhaným lososom parmezánom a pažítkou,Jemne pikantný divinový guláš s paprikovými haluškami a chrumkavou cibuľkou,TYZDENNE  Konfitované kačacie stehno s dusenou červenou kapustou a zemiakovou lokšou
2021-09-28,Centr klub,Kulajda,Restovaná kuracia pečeň dusená ryža kyslá uhorka,Bravčové karé na zelenine a bylinkách tarhoňa,,
2021-09-28,Ceska piv,Slepačí vývar s mäsom a rezancami,Hrachová s párkom,Kuracie prsia zapekané s cheddarom a sušenou paradajkou ryža a miešaný šalát,Dubákové rizoto s grilovanou panenkou a parmezánom,VIP  Konfitované kačacie stehná s karamelizovanou kapustou a parenou knedľou
2021-09-28,Dilema,Karfiolový krém s krutónmi,Cesnakový kurací REZEŇ v bylinkovej strúhanke zemiakové pyré uhorkový šalát N,Bravčový PERKELT zemiakové halušky,Tagliatelle s domácim pestom sušené paradajky parmezán rukola,
2021-09-28,Galileo,Šošovicová polievka na kyselo,Pečené kuracie stehno s dusenou ryžou a kompótom,,,
2021-09-28,Kasa,Špenátová polievka,Batátovo zemiakový gratin,Bravčové karé na hubách,,
2021-09-28,Milton,Hrachová krémová polievka s restovanou cibuľkou a slaninkou,Tradičné talianske mäsové guľky pečené v paradajkovej omáčke,Cestoviny plnené ricottou parmezánom a baby špenátom,Jahňacie kotlety marinované vyzretým balsamicom,Čučoriedkové Tiramisu parfumované bielym rumom
2021-09-28,Red Cafe,Fazuľová s rezancami polievka,Segedínsky guláš domáca knedľa,Vypr šampiňóny na listovom šaláte cesnakový dip,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-09-28,Spilka,Tekvicová polievka s jablkami,Kurací rezeň s domácim zemiakovým šalátom,Giilované rofu steriyaki omáčkou a restovanou ryžou,,
2021-09-28,Svadby a Kari,Mexická fazuľová polievka s údenými chipotle paprikami VEGAN,NOVINKA Etiópske berberské kari s batátmi brokolicou a hráškom VEGAN paradajkový šalát s olivami a čerstvou bazalkou,Thajské žlté kari s hovädzím mäsom cuketou a pečeným baklažánom   paradajkový šalát s olivami a čerstvou bazalkou,,
2021-09-28,Veda,Thajská karfiólová,Gobi beans karfiól a zelená fazuľka v indickej omáčke,Vegetariánsky stroganov na indický spôsob,,
2021-09-28,Veglife,Kapustnica s údeným tempehom a sušenými hríbami,Africký guláš s fazuľou a arašidovým maslom ryža natural,Koložvárska kapusta,Mrkvové kofty indické zemiaky,Šalát Kapustovo rukolový šalát s tekvicovými semiačkami
2021-09-30,Alzbetka,Fazuľová na kyslo,Pečené kačacie stehno s červenou kapustou a parenou buchtou brusnice,Hubové natur rizoto s parmezánom a rukolou,Ceasar šalát s kuracím mäsom,
2021-09-30,Bioland,Karfiolová krémová s chrenom alergény neobsahuje,SPANISH Údené fazuľové fašírky na paradajkovej omáčke kuskus so šalátom alergény sója lepok,Cviklový šalát s jablkom a vlašskými orechmi alergény orechy,Chia puding z kokosového mlieka a ovocím alergény neobsahuje,
2021-09-30,BlueBear,Kelová polievka s párkom,Hovädzie dusené s chrenovou omáčkou a parenou knedľou,G Grilovaná treska na bylinkovom masle s hráškovým pyré a rukolou,G Jemne pikantný divinový guláš s paprikovými haluškami a chrumkavou cibuľkou,TYZDENNE  Konfitované kačacie stehno s dusenou červenou kapustou a zemiakovou lokšou
2021-09-30,Centr klub,Hrachová s údeným mäsom,Granatiersky pochod uhorkový šalát,Pečené kuracie stehno ryža broskyňový kompót,,
2021-09-30,Ceska piv,Slepačí vývar s mäsom a rezancami,Zemiaková s klobásou,Kuracie prsia s nivovou omáčkou a volským okom ryža,Vyprážaný bravčový rezeň s hranolkami a tatárskou omáčkou,VIP  Konfitované kačacie stehná s karamelizovanou kapustou a lokšou
2021-09-30,Dilema,Fazuľová s údeninou,Kurací STROGANOV čerstvý kôpor ryža,VYPRÁŽANÁ TRESKA zemiakový šalát s cibuľkou,PARENÉ BUCHTY s čokoládovou plnkou tvarohom a lesným ovocím,
2021-09-30,Galileo,Zeleninová polievkaPórová polievka,Kuracie prsia na prírodno s oštiepkom s dusenou ryžou,,,
2021-09-30,Kasa,Hrachová polievka,Grilovaný encián  slivkový rozvar,Kurací špíz,,
2021-09-30,Milton,Divinové consomé zelenina a pečeňové halušky,Kurací špíz z vykosteného kuracieho stehna slaninky a trio papriky,Semolinové cestoviny Penne all Arrabiata,V celku grilovaná teľacia sviečkovica Sous Vide tranžírovaná na tenké plátky,U nás pripravovaný puding z bielej a tmavej čokolády oreo biscuit a maliny
2021-09-30,Red Cafe,Cesnaková krémová s krutónmi polievka,Hovädzí tokáň tarhoňa,Šalát s tuniakom a vareným vajíčkom citrónový dip,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-09-30,Spilka,Ribolita fazuľovo kapustová polievka,Šošovicový prívarok s fašírkou z kuracích stehien a rozmarínové zemiaky,Domáce tekvicové gnocchi so špenátovo kokosovou omáčkou     f,,
2021-09-30,Suvlaki,Cesnaková polievka,Dusené TEĽACIE mäso s hráškom paradajková omáčka,Zapečené ŠPAGETY s kuracím mäsom baklažanom paprikou a syrom,Grilovaný CHALUMI SYR so zeleninou,
2021-09-30,Svadby a Kari,Ukrajinský cviklový boršč s kôprom VEGAN,Indický VEGAN Dhal z červenej šošovice s čerstvými marhuľami  jogurovo uhorkový šalát s kôprom a chrenom,Thajské hovädzie Panang kari s arašídmi paprikou a cuketou    jogurovo uhorkový šalát s kôprom a chrenom,,
2021-09-30,Veda,Thajská zemiaková s mini kukuricoua,South Indian curry Juhoindické kari,Vegetariánsky stroganov na indický spôsob,,
2021-09-30,Veglife,Hŕstková polievka,Kelovo paradajkové lasagne,Baklažánový guláš s cícerom šťuchané zemiaky s olivovým olejom B V P,Krémové rizoto s medovou tekvicou,Šalát Rosso cviklový so semiačkami
2021-10-01,Alzbetka,Slepačí vývar s pečeňovými haluškami,Špagety s mäsovými guľkami v paradajkovej omáčke,Vyprážaný karfiol s varenými zemiakmi a tatárskou omáčkou      Ceasar šalát s kuracím mäsom,,
2021-10-01,Bioland,Strukovinová s nádychom Indie alergény neobsahuje,Pečené kokosové tofu africké tekvicové pyré šalát alergény sója,Grilovaná cuketa s batátovými hranolkami a limetkovým dipom alergény neobsahuje,Jablková šarlotka alergény vajcia lepok,
2021-10-01,BlueBear,Lúsková polievka so zemiakmi,Vyprážané šampiňóny s varenými zemiakmi a tatárskou omáčkou,Bravčové ragú s horčicou a slaninkou dusená ryža,Jemne pikantný divinový guláš s paprikovými haluškami a chrumkavou cibuľkou,TYZDENNE  Konfitované kačacie stehno s dusenou červenou kapustou a zemiakovou lokšou
2021-10-01,Centr klub,Mäsový vývar so zeleninou a rezancami,Šošovicový prívarok grilovaná klobása vajíčko chlieb,Gnocchi s lososom paradajková omáčka cuketa bazalka,,
2021-10-01,Ceska piv,Slepačí vývar s mäsom a rezancami,Lúsková na kyslo,Bryndzové pirohy so slaninkou,Plnená bravčová kapsa so slaninkou a syrom americké zemiaky mix šalát,VIP Medajlónky z bravčovej panenky s omáčkou z lesných hríbikov ryža
2021-10-01,Dilema,Slepačí vývar s rezancami a zeleninou N,Kurací GYROS ryža uhorkové tzatziky,ŠPAGETY BOLOGNESE s domácim pestom parmezán rukola,Vyprážaná SYR hranolky naša domáca tatárska omáčka    Mom naHdávamea u sen A,
2021-10-01,Galileo,Kelová polievka,Mletý bravčový rezeň so syrom s varenými zemiakmi a kaustovým šalátom,,,
2021-10-01,Kasa,Cviklovo paradajková polievka,Kelovo zemiakový prívarok vajce na tvrdo,Hovädzí Shepherd s pie,,
2021-10-01,Milton,Zeleninová krémová polievka s kokosovým mliekom a limetkovými lístkami,Grilované medailóniky z bravčovej panenky,Ryžový nákyp s mangom a sušenými brusnicami ochutený čerstvou vanilkou,Grilovaná filetovaná ryba,Konfitované pečené kačacie stehno
2021-10-01,Red Cafe,Hŕstková polievka,Pečené kuracie stehno dusená ryža kompót,Zemiakový prívarok štefánska sekaná,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-10-01,Spilka,Mrkvovo koriandrový krém       b,Konfitované kačacie stehno s dusenou kapustou a lokšou,Restovaná ryža s hubami shimeji a domácim kimchi,,
2021-10-01,Suvlaki,Brokolicová polievka,Pečené RYBACIE FILETY s cesnakom rozmarínom čerstvými paradajkami,Grilovaný KURACÍ STEAK s olivami a syrom feta,Zapečený CÍCER s cuketou mrkvou paradajková omáčka,
2021-10-01,Veda,Šampiónová,Broccoli takatak brokolica takatak soup,Vegetariánsky stroganov na indický spôsob soup,,
2021-10-01,Veglife,Batatový krém so zázvorom,Tofu kung pao ryža jasmínová B V P,Hubovník s červenou kapustou pečené zemiaky,Balkánsky robi rezeň zemiakové pyré s maslom,Šalát Chrenový s čínskou kapustou
2021-10-04,Alzbetka,Šošovicová s klobásou,Kurací steak zapekaný so sušenými paradajkami a mozzarellou s dusenou ryžou,Bryndzové pirohy so slaninou a kyslou smotanou,Listový šalát s grilovaným hermelínom a čerstvou zeleninou nakladané brusnive,
2021-10-04,Bioland,Paradajková s bazalkou alergény neobsahuje,Pečený bôčik z tofu s červenou kapustou a jablkami varené zemiaky alergény sója,MORROCO tekvicový kotlík so zeleninou jazmínová ryža alergény neobsahuje,Raw vanilková pena s ovocím alergény orechy,
2021-10-04,BlueBear,Cesnaková krémová polievka,Granadiersky pochod so strúhaným syrom a kyslou uhorkou,Kuracie mexické soté s kukuricou a dusenou ryžou,Jemne pikantný Maďarský guláš s parenou knedľou,TYZDENNE New York Burger s hovädzím mäsom slaninkou vajcom a
2021-10-04,Centr klub,Cesnaková so syrom a opečeným chlebom,Bryndzové halušky s vypečenou slaninou,Kurací steak fazuľové čili ragú s kukuricou zemiakové krokety,,
2021-10-04,Ceska piv,Slepačí vývar s mäsom a rezancami,Kapustnica,Kuracie soté so zeleninou ryža,Bravčový rezeň v syrovom cestíčku varené zemiaky a tatárska omáčka,VIP  Konfitované kačacie stehno s karamelizovanou kapustou a lokšou
2021-10-04,Dilema,Slepačí vývar s rezancami a zeleninou,Kurací STEAK s GORGONZOLOU hranolky listový šalát,Bravčové stehno na POĽOVNÍCKY spôsob tarhoňa,BRYNDZOVÉ HALUŠKY so slaninkou alebo jarnou cibuľkou,
2021-10-04,Galileo,Hrachová polievka,Kung pao s dusenou ryžou,,,
2021-10-04,Kasa,Kulajda,Šošovicové ragú zapekané zemiak lupienkami,Pulled pork horčicovo medová omáčka,,
2021-10-04,Milton,Hríbová krémová polievka zmes lesných húb a šampiňónov,Grilované kuracie prsia plnené šunkou a syrom,Zapekaný lososový steak so špenátovou krustou,Konfitované teľacie líčka v zeleninovej remuláde,Dusená koreňová zelenina bylinky a teľacia šťava
2021-10-04,Red Cafe,Šošovicová polievka,Kuracie medajlónky na BBQ omáčke hranolky,Hríbové rizoto so syrom,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-10-04,Spilka,S Mini deň pe jej,Karfiolový krém s cheddarom      druhy,Morčací perkelt s maslovými haluškami a údenou paprikou,Vyprážaný syr hranolkami a domácou tatarkou,
2021-10-04,Suvlaki,Kuracia polievka,Dusené bravčové mäso s červenou paprikou horčicová omáčka,Grilovaný KURACÍ STEAK so slaninkou a ananásom,Zapečený baklažán s bazalkou paradajkou omáčkou a syrom,
2021-10-04,Svadby a Kari,Polievka zo sušených paradajok s čerstvou bazalkou VEGAN,NOVINKA Indická VEGAN mandľová Korma so sójovým jogurtom šampiňónmi cuketou a mätou vegan colesaw šalát,Indické kuracie kari tisícich cesnakov s tekvicou a oranžovou paprikou vegan colesaw šalát,,
